id,source,best_known,gap_codewords
aebcw-a-29-10-8,brouwer-constant-weight-codes,91,112
aebcw-a-32-14-13,brouwer-constant-weight-codes,70,113
aebcw-a-22-6-6,brouwer-constant-weight-codes,343,119
aebcw-a-23-6-6,brouwer-constant-weight-codes,399,122
aebcw-a-26-10-9,brouwer-constant-weight-codes,91,122
aebcw-a-24-10-12,brouwer-constant-weight-codes,123,123
aebcw-a-19-6-7,brouwer-constant-weight-codes,338,125
aebcw-a-31-12-10,brouwer-constant-weight-codes,103,126
aebcw-a-24-10-11,brouwer-constant-weight-codes,95,127
aebcw-a-28-12-13,brouwer-constant-weight-codes,112,132
aebcw-a-28-6-6,brouwer-constant-weight-codes,1170,136
aebcw-a-32-14-14,brouwer-constant-weight-codes,96,137
aebcw-a-30-10-8,brouwer-constant-weight-codes,108,139
aebcw-a-22-8-9,brouwer-constant-weight-codes,292,148
aebcw-a-24-6-6,brouwer-constant-weight-codes,532,148
aebcw-a-30-12-11,brouwer-constant-weight-codes,120,148
aebcw-a-25-10-10,brouwer-constant-weight-codes,100,162
aebcw-a-18-6-8,brouwer-constant-weight-codes,260,167
aebcw-a-27-10-9,brouwer-constant-weight-codes,118,173
aebcw-a-32-14-16,brouwer-constant-weight-codes,122,173
aebcw-a-32-12-10,brouwer-constant-weight-codes,122,178
aebcw-a-29-12-12,brouwer-constant-weight-codes,119,179
aebcw-a-32-14-15,brouwer-constant-weight-codes,96,181
aebcw-a-20-6-7,brouwer-constant-weight-codes,462,189
aebcw-a-27-8-7,brouwer-constant-weight-codes,303,197
aebcw-a-31-10-8,brouwer-constant-weight-codes,124,198
aebcw-a-28-8-7,brouwer-constant-weight-codes,318,222
aebcw-a-31-12-11,brouwer-constant-weight-codes,186,229
aebcw-a-28-10-9,brouwer-constant-weight-codes,140,236
aebcw-a-23-8-9,brouwer-constant-weight-codes,412,250
aebcw-a-25-10-11,brouwer-constant-weight-codes,125,254
aebcw-a-32-10-8,brouwer-constant-weight-codes,145,257
aebcw-a-21-6-7,brouwer-constant-weight-codes,570,258
aebcw-a-29-6-6,brouwer-constant-weight-codes,1197,262
aebcw-a-26-10-10,brouwer-constant-weight-codes,130,267
aebcw-a-19-6-8,brouwer-constant-weight-codes,408,285
aebcw-a-19-6-9,brouwer-constant-weight-codes,504,285
aebcw-a-29-12-13,brouwer-constant-weight-codes,146,295
aebcw-a-25-10-12,brouwer-constant-weight-codes,137,296
aebcw-a-30-12-12,brouwer-constant-weight-codes,190,302
aebcw-a-26-8-8,brouwer-constant-weight-codes,763,303
aebcw-a-24-8-9,brouwer-constant-weight-codes,656,312
aebcw-a-29-12-14,brouwer-constant-weight-codes,173,319
aebcw-a-22-6-7,brouwer-constant-weight-codes,759,341
aebcw-a-29-10-9,brouwer-constant-weight-codes,168,355
aebcw-a-23-8-10,brouwer-constant-weight-codes,648,364
aebcw-a-31-12-12,brouwer-constant-weight-codes,310,369
aebcw-a-26-6-7,brouwer-constant-weight-codes,2600,371
aebcw-a-32-12-11,brouwer-constant-weight-codes,186,387
aebcw-a-27-10-10,brouwer-constant-weight-codes,162,393
aebcw-a-26-10-11,brouwer-constant-weight-codes,168,397
aebcw-a-30-12-13,brouwer-constant-weight-codes,236,406
aebcw-a-24-6-7,brouwer-constant-weight-codes,1368,418
aebcw-a-30-10-9,brouwer-constant-weight-codes,203,454
aebcw-a-32-12-12,brouwer-constant-weight-codes,496,456
aebcw-a-20-6-10,brouwer-constant-weight-codes,944,476
aebcw-a-26-10-12,brouwer-constant-weight-codes,208,483
aebcw-a-27-8-8,brouwer-constant-weight-codes,769,483
aebcw-a-20-6-8,brouwer-constant-weight-codes,588,496
aebcw-a-30-12-14,brouwer-constant-weight-codes,289,512
aebcw-a-25-6-7,brouwer-constant-weight-codes,1900,528
aebcw-a-25-8-9,brouwer-constant-weight-codes,837,529
aebcw-a-26-10-13,brouwer-constant-weight-codes,225,529
aebcw-a-20-6-9,brouwer-constant-weight-codes,832,531
aebcw-a-23-6-7,brouwer-constant-weight-codes,969,549
aebcw-a-31-12-13,brouwer-constant-weight-codes,400,558
aebcw-a-28-10-10,brouwer-constant-weight-codes,219,566
aebcw-a-31-10-9,brouwer-constant-weight-codes,232,590
aebcw-a-24-8-10,brouwer-constant-weight-codes,960,591
aebcw-a-30-12-15,brouwer-constant-weight-codes,302,592
aebcw-a-27-10-11,brouwer-constant-weight-codes,243,628
aebcw-a-28-8-8,brouwer-constant-weight-codes,1057,693
aebcw-a-31-12-14,brouwer-constant-weight-codes,510,728
aebcw-a-29-6-7,brouwer-constant-weight-codes,4680,730
aebcw-a-24-8-11,brouwer-constant-weight-codes,1378,764
aebcw-a-29-10-10,brouwer-constant-weight-codes,266,824
aebcw-a-27-10-12,brouwer-constant-weight-codes,351,839
aebcw-a-32-10-9,brouwer-constant-weight-codes,304,839
aebcw-a-31-12-15,brouwer-constant-weight-codes,572,863
aebcw-a-21-6-8,brouwer-constant-weight-codes,775,890
aebcw-a-27-10-13,brouwer-constant-weight-codes,420,986
aebcw-a-26-8-9,brouwer-constant-weight-codes,887,1014
aebcw-a-28-10-11,brouwer-constant-weight-codes,308,1043
aebcw-a-32-12-13,brouwer-constant-weight-codes,434,1063
aebcw-a-25-8-10,brouwer-constant-weight-codes,1248,1085
aebcw-a-22-6-8,brouwer-constant-weight-codes,1144,1133
aebcw-a-21-6-9,brouwer-constant-weight-codes,1186,1142
aebcw-a-21-6-10,brouwer-constant-weight-codes,1474,1211
aebcw-a-32-12-14,brouwer-constant-weight-codes,900,1240
aebcw-a-30-10-10,brouwer-constant-weight-codes,322,1247
aebcw-a-25-8-12,brouwer-constant-weight-codes,2610,1477
aebcw-a-31-10-10,brouwer-constant-weight-codes,465,1571
aebcw-a-28-10-12,brouwer-constant-weight-codes,390,1587
aebcw-a-27-8-9,brouwer-constant-weight-codes,1025,1591
aebcw-a-29-10-11,brouwer-constant-weight-codes,406,1630
aebcw-a-28-10-13,brouwer-constant-weight-codes,756,1682
aebcw-a-25-8-11,brouwer-constant-weight-codes,1702,1720
aebcw-a-23-6-8,brouwer-constant-weight-codes,1439,1723
aebcw-a-32-12-16,brouwer-constant-weight-codes,1144,1726
aebcw-a-28-10-14,brouwer-constant-weight-codes,812,1816
aebcw-a-22-6-9,brouwer-constant-weight-codes,1818,1918
aebcw-a-26-8-10,brouwer-constant-weight-codes,1519,1977
aebcw-a-32-12-15,brouwer-constant-weight-codes,629,2012
aebcw-a-32-10-10,brouwer-constant-weight-codes,500,2130
aebcw-a-22-6-10,brouwer-constant-weight-codes,2183,2232
aebcw-a-22-6-11,brouwer-constant-weight-codes,2636,2397
aebcw-a-30-10-11,brouwer-constant-weight-codes,504,2420
aebcw-a-28-8-9,brouwer-constant-weight-codes,1333,2522
aebcw-a-29-10-12,brouwer-constant-weight-codes,543,2548
aebcw-a-24-6-8,brouwer-constant-weight-codes,1882,2672
aebcw-a-25-6-8,brouwer-constant-weight-codes,2590,2991
aebcw-a-26-8-11,brouwer-constant-weight-codes,2037,3171
aebcw-a-27-8-10,brouwer-constant-weight-codes,1721,3265
aebcw-a-29-10-14,brouwer-constant-weight-codes,1458,3469
aebcw-a-31-10-11,brouwer-constant-weight-codes,651,3490
aebcw-a-26-8-13,brouwer-constant-weight-codes,3588,3492
aebcw-a-29-10-13,brouwer-constant-weight-codes,756,3526
aebcw-a-23-6-9,brouwer-constant-weight-codes,2278,3541
aebcw-a-26-8-12,brouwer-constant-weight-codes,3070,3671
aebcw-a-30-10-12,brouwer-constant-weight-codes,768,4240
aebcw-a-26-6-8,brouwer-constant-weight-codes,3532,4359
aebcw-a-23-6-11,brouwer-constant-weight-codes,3585,4368
aebcw-a-23-6-10,brouwer-constant-weight-codes,2990,4531
aebcw-a-32-10-11,brouwer-constant-weight-codes,992,4704
aebcw-a-28-8-10,brouwer-constant-weight-codes,2067,4949
aebcw-a-27-6-8,brouwer-constant-weight-codes,4786,5241
aebcw-a-27-8-11,brouwer-constant-weight-codes,2404,5350
aebcw-a-24-6-9,brouwer-constant-weight-codes,3080,5352
aebcw-a-30-10-13,brouwer-constant-weight-codes,935,5789
aebcw-a-31-10-12,brouwer-constant-weight-codes,930,6329
aebcw-a-30-10-14,brouwer-constant-weight-codes,1458,6688
aebcw-a-27-8-12,brouwer-constant-weight-codes,3335,7125
aebcw-a-30-10-15,brouwer-constant-weight-codes,1458,7490
aebcw-a-27-8-13,brouwer-constant-weight-codes,4094,7803
aebcw-a-24-6-10,brouwer-constant-weight-codes,4224,7962
aebcw-a-28-8-11,brouwer-constant-weight-codes,3773,8123
aebcw-a-25-6-9,brouwer-constant-weight-codes,4260,8360
aebcw-a-32-10-12,brouwer-constant-weight-codes,1395,9051
aebcw-a-31-10-13,brouwer-constant-weight-codes,1395,9135
aebcw-a-31-10-14,brouwer-constant-weight-codes,1538,11981
aebcw-a-28-8-12,brouwer-constant-weight-codes,4927,12081
aebcw-a-31-10-15,brouwer-constant-weight-codes,1922,13109
aebcw-a-32-10-13,brouwer-constant-weight-codes,1984,14771
aebcw-a-32-10-14,brouwer-constant-weight-codes,2325,19888
aebcw-a-32-10-15,brouwer-constant-weight-codes,2635,23726
aebcw-a-32-10-16,brouwer-constant-weight-codes,3038,24391
