id,source,best_known,gap_blocks
ljcr-c-35-19-3,ljcr-covering-designs,13,1
ljcr-c-35-21-3,ljcr-covering-designs,10,1
ljcr-c-35-24-4,ljcr-covering-designs,11,1
ljcr-c-35-6-2,ljcr-covering-designs,42,1
ljcr-c-35-7-2,ljcr-covering-designs,32,1
ljcr-c-36-10-2,ljcr-covering-designs,18,1
ljcr-c-36-11-2,ljcr-covering-designs,15,1
ljcr-c-36-12-3,ljcr-covering-designs,40,1
ljcr-c-36-18-3,ljcr-covering-designs,15,1
ljcr-c-36-20-3,ljcr-covering-designs,12,1
ljcr-c-36-22-3,ljcr-covering-designs,10,1
ljcr-c-36-23-4,ljcr-covering-designs,16,1
ljcr-c-36-24-4,ljcr-covering-designs,12,1
ljcr-c-36-25-4,ljcr-covering-designs,11,1
ljcr-c-36-5-2,ljcr-covering-designs,66,1
ljcr-c-36-7-2,ljcr-covering-designs,33,1
ljcr-c-36-9-2,ljcr-covering-designs,21,1
ljcr-c-37-10-2,ljcr-covering-designs,19,1
ljcr-c-37-20-3,ljcr-covering-designs,13,1
ljcr-c-37-23-3,ljcr-covering-designs,9,1
ljcr-c-37-5-2,ljcr-covering-designs,68,1
ljcr-c-38-19-3,ljcr-covering-designs,15,1
ljcr-c-38-23-3,ljcr-covering-designs,10,1
ljcr-c-38-7-2,ljcr-covering-designs,39,1
ljcr-c-39-11-2,ljcr-covering-designs,18,1
ljcr-c-39-13-3,ljcr-covering-designs,40,1
ljcr-c-39-21-3,ljcr-covering-designs,13,1
ljcr-c-39-24-3,ljcr-covering-designs,9,1
ljcr-c-39-8-2,ljcr-covering-designs,32,1
ljcr-c-40-10-2,ljcr-covering-designs,21,1
ljcr-c-40-14-3,ljcr-covering-designs,39,1
ljcr-c-40-20-4,ljcr-covering-designs,31,1
ljcr-c-40-22-3,ljcr-covering-designs,12,1
ljcr-c-40-24-3,ljcr-covering-designs,10,1
ljcr-c-40-6-2,ljcr-covering-designs,55,1
ljcr-c-40-8-2,ljcr-covering-designs,33,1
ljcr-c-40-9-2,ljcr-covering-designs,26,1
ljcr-c-41-11-2,ljcr-covering-designs,19,1
ljcr-c-41-14-3,ljcr-covering-designs,40,1
ljcr-c-41-21-4,ljcr-covering-designs,30,1
ljcr-c-41-22-3,ljcr-covering-designs,13,1
ljcr-c-41-25-3,ljcr-covering-designs,9,1
ljcr-c-41-8-2,ljcr-covering-designs,34,1
ljcr-c-42-12-2,ljcr-covering-designs,17,1
ljcr-c-42-21-3,ljcr-covering-designs,15,1
ljcr-c-42-23-3,ljcr-covering-designs,12,1
ljcr-c-42-25-3,ljcr-covering-designs,10,1
ljcr-c-42-8-2,ljcr-covering-designs,35,1
ljcr-c-42-9-2,ljcr-covering-designs,29,1
ljcr-c-43-12-2,ljcr-covering-designs,18,1
ljcr-c-43-13-2,ljcr-covering-designs,15,1
ljcr-c-43-23-3,ljcr-covering-designs,13,1
ljcr-c-43-9-2,ljcr-covering-designs,30,1
ljcr-c-44-10-2,ljcr-covering-designs,26,1
ljcr-c-44-11-2,ljcr-covering-designs,21,1
ljcr-c-44-12-2,ljcr-covering-designs,19,1
ljcr-c-44-22-3,ljcr-covering-designs,15,1
ljcr-c-44-22-4,ljcr-covering-designs,31,1
ljcr-c-44-6-2,ljcr-covering-designs,67,1
ljcr-c-45-10-2,ljcr-covering-designs,27,1
ljcr-c-45-11-2,ljcr-covering-designs,22,1
ljcr-c-45-12-2,ljcr-covering-designs,19,1
ljcr-c-45-23-4,ljcr-covering-designs,30,1
ljcr-c-45-24-3,ljcr-covering-designs,13,1
ljcr-c-45-9-2,ljcr-covering-designs,33,1
ljcr-c-46-13-2,ljcr-covering-designs,17,1
ljcr-c-46-14-2,ljcr-covering-designs,15,1
ljcr-c-46-23-3,ljcr-covering-designs,15,1
ljcr-c-46-23-4,ljcr-covering-designs,31,1
ljcr-c-46-25-3,ljcr-covering-designs,13,1
ljcr-c-46-9-2,ljcr-covering-designs,34,1
ljcr-c-47-11-2,ljcr-covering-designs,23,1
ljcr-c-47-14-2,ljcr-covering-designs,15,1
ljcr-c-47-24-4,ljcr-covering-designs,30,1
ljcr-c-47-25-3,ljcr-covering-designs,13,1
ljcr-c-47-9-2,ljcr-covering-designs,35,1
ljcr-c-48-10-2,ljcr-covering-designs,30,1
ljcr-c-48-13-2,ljcr-covering-designs,19,1
ljcr-c-48-23-3,ljcr-covering-designs,16,1
ljcr-c-48-24-5,ljcr-covering-designs,63,1
ljcr-c-48-5-2,ljcr-covering-designs,117,1
ljcr-c-48-7-2,ljcr-covering-designs,56,1
ljcr-c-49-12-2,ljcr-covering-designs,22,1
ljcr-c-49-14-2,ljcr-covering-designs,17,1
ljcr-c-49-15-2,ljcr-covering-designs,15,1
ljcr-c-49-23-3,ljcr-covering-designs,16,1
ljcr-c-49-25-4,ljcr-covering-designs,30,1
ljcr-c-50-15-2,ljcr-covering-designs,15,1
ljcr-c-50-25-3,ljcr-covering-designs,15,1
ljcr-c-50-9-2,ljcr-covering-designs,40,1
ljcr-c-51-11-2,ljcr-covering-designs,28,1
ljcr-c-51-14-2,ljcr-covering-designs,19,1
ljcr-c-51-24-3,ljcr-covering-designs,16,1
ljcr-c-51-9-2,ljcr-covering-designs,41,1
ljcr-c-52-11-2,ljcr-covering-designs,30,1
ljcr-c-52-12-2,ljcr-covering-designs,24,1
ljcr-c-52-13-2,ljcr-covering-designs,21,1
ljcr-c-52-14-2,ljcr-covering-designs,19,1
ljcr-c-52-18-3,ljcr-covering-designs,39,1
ljcr-c-52-24-3,ljcr-covering-designs,17,1
ljcr-c-52-7-2,ljcr-covering-designs,68,1
ljcr-c-53-11-2,ljcr-covering-designs,30,1
ljcr-c-53-16-2,ljcr-covering-designs,15,1
ljcr-c-53-5-2,ljcr-covering-designs,140,1
ljcr-c-53-7-2,ljcr-covering-designs,70,1
ljcr-c-54-12-2,ljcr-covering-designs,27,1
ljcr-c-54-15-2,ljcr-covering-designs,18,1
ljcr-c-55-11-2,ljcr-covering-designs,31,1
ljcr-c-55-12-2,ljcr-covering-designs,28,1
ljcr-c-55-14-2,ljcr-covering-designs,21,1
ljcr-c-55-15-2,ljcr-covering-designs,19,1
ljcr-c-55-16-2,ljcr-covering-designs,16,1
ljcr-c-55-19-3,ljcr-covering-designs,38,1
ljcr-c-56-12-2,ljcr-covering-designs,28,1
ljcr-c-56-14-2,ljcr-covering-designs,21,1
ljcr-c-56-15-2,ljcr-covering-designs,19,1
ljcr-c-56-17-2,ljcr-covering-designs,15,1
ljcr-c-56-8-2,ljcr-covering-designs,57,1
ljcr-c-57-13-2,ljcr-covering-designs,25,1
ljcr-c-57-5-2,ljcr-covering-designs,161,1
ljcr-c-58-12-2,ljcr-covering-designs,30,1
ljcr-c-58-16-2,ljcr-covering-designs,18,1
ljcr-c-58-20-3,ljcr-covering-designs,39,1
ljcr-c-58-6-2,ljcr-covering-designs,117,1
ljcr-c-58-7-2,ljcr-covering-designs,84,1
ljcr-c-59-12-2,ljcr-covering-designs,31,1
ljcr-c-59-16-2,ljcr-covering-designs,19,1
ljcr-c-59-18-2,ljcr-covering-designs,15,1
ljcr-c-59-20-3,ljcr-covering-designs,40,1
ljcr-c-59-6-2,ljcr-covering-designs,119,1
ljcr-c-59-7-2,ljcr-covering-designs,86,1
ljcr-c-59-9-2,ljcr-covering-designs,55,1
ljcr-c-60-12-2,ljcr-covering-designs,31,1
ljcr-c-60-13-2,ljcr-covering-designs,28,1
ljcr-c-60-15-2,ljcr-covering-designs,21,1
ljcr-c-60-18-2,ljcr-covering-designs,15,1
ljcr-c-13-7-4,ljcr-covering-designs,30,2
ljcr-c-15-10-4,ljcr-covering-designs,14,2
ljcr-c-16-10-4,ljcr-covering-designs,18,2
ljcr-c-16-9-4,ljcr-covering-designs,26,2
ljcr-c-17-11-4,ljcr-covering-designs,15,2
ljcr-c-17-7-3,ljcr-covering-designs,27,2
ljcr-c-18-10-4,ljcr-covering-designs,26,2
ljcr-c-18-9-3,ljcr-covering-designs,16,2
ljcr-c-19-11-3,ljcr-covering-designs,11,2
ljcr-c-19-12-4,ljcr-covering-designs,17,2
ljcr-c-19-7-3,ljcr-covering-designs,35,2
ljcr-c-20-14-5,ljcr-covering-designs,18,2
ljcr-c-20-7-3,ljcr-covering-designs,45,2
ljcr-c-21-10-3,ljcr-covering-designs,18,2
ljcr-c-21-14-4,ljcr-covering-designs,14,2
ljcr-c-21-15-5,ljcr-covering-designs,16,2
ljcr-c-22-10-3,ljcr-covering-designs,19,2
ljcr-c-22-13-3,ljcr-covering-designs,11,2
ljcr-c-22-14-4,ljcr-covering-designs,17,2
ljcr-c-22-8-3,ljcr-covering-designs,38,2
ljcr-c-23-15-4,ljcr-covering-designs,15,2
ljcr-c-23-7-3,ljcr-covering-designs,65,2
ljcr-c-23-8-3,ljcr-covering-designs,40,2
ljcr-c-24-11-3,ljcr-covering-designs,20,2
ljcr-c-24-14-3,ljcr-covering-designs,11,2
ljcr-c-25-10-3,ljcr-covering-designs,30,2
ljcr-c-25-12-3,ljcr-covering-designs,17,2
ljcr-c-25-13-4,ljcr-covering-designs,30,2
ljcr-c-25-18-5,ljcr-covering-designs,16,2
ljcr-c-26-11-3,ljcr-covering-designs,26,2
ljcr-c-26-15-3,ljcr-covering-designs,11,2
ljcr-c-26-17-4,ljcr-covering-designs,15,2
ljcr-c-27-10-3,ljcr-covering-designs,35,2
ljcr-c-27-11-3,ljcr-covering-designs,27,2
ljcr-c-27-19-5,ljcr-covering-designs,17,2
ljcr-c-28-10-3,ljcr-covering-designs,36,2
ljcr-c-28-16-3,ljcr-covering-designs,11,2
ljcr-c-28-18-4,ljcr-covering-designs,16,2
ljcr-c-29-12-3,ljcr-covering-designs,27,2
ljcr-c-29-15-4,ljcr-covering-designs,30,2
ljcr-c-29-17-3,ljcr-covering-designs,11,2
ljcr-c-29-19-4,ljcr-covering-designs,15,2
ljcr-c-30-16-4,ljcr-covering-designs,29,2
ljcr-c-30-19-4,ljcr-covering-designs,17,2
ljcr-c-30-20-4,ljcr-covering-designs,13,2
ljcr-c-31-11-3,ljcr-covering-designs,39,2
ljcr-c-31-16-4,ljcr-covering-designs,30,2
ljcr-c-31-18-3,ljcr-covering-designs,11,2
ljcr-c-31-21-4,ljcr-covering-designs,12,2
ljcr-c-31-23-5,ljcr-covering-designs,13,2
ljcr-c-32-11-3,ljcr-covering-designs,40,2
ljcr-c-32-17-3,ljcr-covering-designs,14,2
ljcr-c-32-17-4,ljcr-covering-designs,29,2
ljcr-c-32-19-3,ljcr-covering-designs,11,2
ljcr-c-32-21-4,ljcr-covering-designs,15,2
ljcr-c-32-23-5,ljcr-covering-designs,16,2
ljcr-c-32-8-3,ljcr-covering-designs,106,2
ljcr-c-33-17-4,ljcr-covering-designs,30,2
ljcr-c-33-19-3,ljcr-covering-designs,11,2
ljcr-c-33-22-4,ljcr-covering-designs,13,2
ljcr-c-33-24-5,ljcr-covering-designs,15,2
ljcr-c-33-25-5,ljcr-covering-designs,12,2
ljcr-c-33-8-2,ljcr-covering-designs,24,2
ljcr-c-34-12-3,ljcr-covering-designs,39,2
ljcr-c-34-14-3,ljcr-covering-designs,27,2
ljcr-c-34-16-3,ljcr-covering-designs,17,2
ljcr-c-34-20-3,ljcr-covering-designs,11,2
ljcr-c-34-22-4,ljcr-covering-designs,15,2
ljcr-c-34-24-5,ljcr-covering-designs,17,2
ljcr-c-34-8-2,ljcr-covering-designs,25,2
ljcr-c-35-12-3,ljcr-covering-designs,40,2
ljcr-c-35-20-3,ljcr-covering-designs,11,2
ljcr-c-35-25-5,ljcr-covering-designs,16,2
ljcr-c-35-8-2,ljcr-covering-designs,26,2
ljcr-c-36-14-3,ljcr-covering-designs,31,2
ljcr-c-36-15-3,ljcr-covering-designs,26,2
ljcr-c-36-17-3,ljcr-covering-designs,17,2
ljcr-c-36-19-3,ljcr-covering-designs,14,2
ljcr-c-36-21-3,ljcr-covering-designs,11,2
ljcr-c-36-8-2,ljcr-covering-designs,27,2
ljcr-c-37-11-2,ljcr-covering-designs,16,2
ljcr-c-37-17-3,ljcr-covering-designs,18,2
ljcr-c-37-21-3,ljcr-covering-designs,11,2
ljcr-c-37-22-3,ljcr-covering-designs,11,2
ljcr-c-37-7-2,ljcr-covering-designs,35,2
ljcr-c-38-11-2,ljcr-covering-designs,17,2
ljcr-c-38-13-3,ljcr-covering-designs,40,2
ljcr-c-38-14-3,ljcr-covering-designs,35,2
ljcr-c-38-20-3,ljcr-covering-designs,14,2
ljcr-c-38-20-4,ljcr-covering-designs,29,2
ljcr-c-38-22-3,ljcr-covering-designs,11,2
ljcr-c-38-25-4,ljcr-covering-designs,15,2
ljcr-c-38-9-2,ljcr-covering-designs,25,2
ljcr-c-39-20-4,ljcr-covering-designs,31,2
ljcr-c-39-23-3,ljcr-covering-designs,11,2
ljcr-c-39-6-2,ljcr-covering-designs,54,2
ljcr-c-39-9-2,ljcr-covering-designs,26,2
ljcr-c-40-12-2,ljcr-covering-designs,16,2
ljcr-c-40-19-3,ljcr-covering-designs,17,2
ljcr-c-40-21-3,ljcr-covering-designs,14,2
ljcr-c-40-23-3,ljcr-covering-designs,11,2
ljcr-c-40-5-2,ljcr-covering-designs,82,2
ljcr-c-41-12-2,ljcr-covering-designs,17,2
ljcr-c-41-16-3,ljcr-covering-designs,31,2
ljcr-c-41-19-3,ljcr-covering-designs,18,2
ljcr-c-41-24-3,ljcr-covering-designs,11,2
ljcr-c-41-7-2,ljcr-covering-designs,43,2
ljcr-c-41-9-2,ljcr-covering-designs,28,2
ljcr-c-42-14-3,ljcr-covering-designs,44,2
ljcr-c-42-22-3,ljcr-covering-designs,14,2
ljcr-c-42-22-4,ljcr-covering-designs,29,2
ljcr-c-42-24-3,ljcr-covering-designs,11,2
ljcr-c-43-10-2,ljcr-covering-designs,26,2
ljcr-c-43-15-3,ljcr-covering-designs,40,2
ljcr-c-43-16-3,ljcr-covering-designs,35,2
ljcr-c-43-20-3,ljcr-covering-designs,18,2
ljcr-c-43-22-4,ljcr-covering-designs,31,2
ljcr-c-43-25-3,ljcr-covering-designs,11,2
ljcr-c-43-8-2,ljcr-covering-designs,37,2
ljcr-c-44-13-2,ljcr-covering-designs,16,2
ljcr-c-44-15-3,ljcr-covering-designs,41,2
ljcr-c-44-18-3,ljcr-covering-designs,27,2
ljcr-c-44-20-3,ljcr-covering-designs,19,2
ljcr-c-44-23-3,ljcr-covering-designs,14,2
ljcr-c-44-25-3,ljcr-covering-designs,11,2
ljcr-c-44-5-2,ljcr-covering-designs,99,2
ljcr-c-45-13-2,ljcr-covering-designs,17,2
ljcr-c-45-15-3,ljcr-covering-designs,42,2
ljcr-c-45-19-3,ljcr-covering-designs,24,2
ljcr-c-45-6-2,ljcr-covering-designs,70,2
ljcr-c-45-8-2,ljcr-covering-designs,42,2
ljcr-c-46-10-2,ljcr-covering-designs,28,2
ljcr-c-46-11-2,ljcr-covering-designs,23,2
ljcr-c-46-16-3,ljcr-covering-designs,38,2
ljcr-c-46-19-3,ljcr-covering-designs,27,2
ljcr-c-46-24-3,ljcr-covering-designs,14,2
ljcr-c-46-8-2,ljcr-covering-designs,43,2
ljcr-c-47-16-3,ljcr-covering-designs,41,2
ljcr-c-47-20-3,ljcr-covering-designs,24,2
ljcr-c-47-7-2,ljcr-covering-designs,56,2
ljcr-c-47-8-2,ljcr-covering-designs,44,2
ljcr-c-48-11-2,ljcr-covering-designs,26,2
ljcr-c-48-14-2,ljcr-covering-designs,17,2
ljcr-c-48-20-3,ljcr-covering-designs,24,2
ljcr-c-48-22-3,ljcr-covering-designs,18,2
ljcr-c-48-25-3,ljcr-covering-designs,14,2
ljcr-c-48-8-2,ljcr-covering-designs,46,2
ljcr-c-48-9-2,ljcr-covering-designs,37,2
ljcr-c-49-11-2,ljcr-covering-designs,27,2
ljcr-c-49-9-2,ljcr-covering-designs,38,2
ljcr-c-50-11-2,ljcr-covering-designs,28,2
ljcr-c-50-12-2,ljcr-covering-designs,23,2
ljcr-c-50-14-2,ljcr-covering-designs,18,2
ljcr-c-51-10-2,ljcr-covering-designs,35,2
ljcr-c-51-12-2,ljcr-covering-designs,24,2
ljcr-c-51-15-2,ljcr-covering-designs,16,2
ljcr-c-52-10-2,ljcr-covering-designs,36,2
ljcr-c-52-15-2,ljcr-covering-designs,17,2
ljcr-c-52-20-3,ljcr-covering-designs,31,2
ljcr-c-52-8-2,ljcr-covering-designs,54,2
ljcr-c-52-9-2,ljcr-covering-designs,44,2
ljcr-c-53-10-2,ljcr-covering-designs,37,2
ljcr-c-53-12-2,ljcr-covering-designs,27,2
ljcr-c-53-15-2,ljcr-covering-designs,18,2
ljcr-c-53-8-2,ljcr-covering-designs,55,2
ljcr-c-53-9-2,ljcr-covering-designs,45,2
ljcr-c-54-10-2,ljcr-covering-designs,38,2
ljcr-c-54-13-2,ljcr-covering-designs,23,2
ljcr-c-54-16-2,ljcr-covering-designs,16,2
ljcr-c-54-19-3,ljcr-covering-designs,38,2
ljcr-c-54-21-3,ljcr-covering-designs,31,2
ljcr-c-54-22-3,ljcr-covering-designs,27,2
ljcr-c-54-9-2,ljcr-covering-designs,46,2
ljcr-c-55-13-2,ljcr-covering-designs,24,2
ljcr-c-55-8-2,ljcr-covering-designs,57,2
ljcr-c-56-16-2,ljcr-covering-designs,17,2
ljcr-c-56-20-3,ljcr-covering-designs,36,2
ljcr-c-57-10-2,ljcr-covering-designs,42,2
ljcr-c-57-11-2,ljcr-covering-designs,36,2
ljcr-c-57-16-2,ljcr-covering-designs,18,2
ljcr-c-57-17-2,ljcr-covering-designs,16,2
ljcr-c-58-10-2,ljcr-covering-designs,43,2
ljcr-c-58-13-2,ljcr-covering-designs,27,2
ljcr-c-58-17-2,ljcr-covering-designs,16,2
ljcr-c-59-11-2,ljcr-covering-designs,37,2
ljcr-c-59-13-2,ljcr-covering-designs,28,2
ljcr-c-59-14-2,ljcr-covering-designs,24,2
ljcr-c-59-17-2,ljcr-covering-designs,17,2
ljcr-c-59-25-3,ljcr-covering-designs,24,2
ljcr-c-60-11-2,ljcr-covering-designs,38,2
ljcr-c-60-17-2,ljcr-covering-designs,18,2
ljcr-c-60-21-3,ljcr-covering-designs,38,2
ljcr-c-13-6-4,ljcr-covering-designs,66,3
ljcr-c-13-7-5,ljcr-covering-designs,78,3
ljcr-c-13-8-5,ljcr-covering-designs,42,3
ljcr-c-15-10-5,ljcr-covering-designs,27,3
ljcr-c-15-9-5,ljcr-covering-designs,42,3
ljcr-c-16-10-5,ljcr-covering-designs,34,3
ljcr-c-16-6-3,ljcr-covering-designs,38,3
ljcr-c-19-13-5,ljcr-covering-designs,21,3
ljcr-c-19-6-3,ljcr-covering-designs,60,3
ljcr-c-19-8-3,ljcr-covering-designs,27,3
ljcr-c-19-9-4,ljcr-covering-designs,48,3
ljcr-c-21-13-4,ljcr-covering-designs,18,3
ljcr-c-21-6-3,ljcr-covering-designs,77,3
ljcr-c-21-8-3,ljcr-covering-designs,35,3
ljcr-c-21-9-3,ljcr-covering-designs,24,3
ljcr-c-22-13-4,ljcr-covering-designs,22,3
ljcr-c-23-10-3,ljcr-covering-designs,24,3
ljcr-c-23-9-3,ljcr-covering-designs,32,3
ljcr-c-24-15-4,ljcr-covering-designs,18,3
ljcr-c-24-17-5,ljcr-covering-designs,18,3
ljcr-c-24-9-3,ljcr-covering-designs,35,3
ljcr-c-25-17-5,ljcr-covering-designs,20,3
ljcr-c-25-8-3,ljcr-covering-designs,57,3
ljcr-c-26-14-4,ljcr-covering-designs,28,3
ljcr-c-26-16-4,ljcr-covering-designs,18,3
ljcr-c-27-17-4,ljcr-covering-designs,18,3
ljcr-c-28-11-3,ljcr-covering-designs,31,3
ljcr-c-28-12-3,ljcr-covering-designs,24,3
ljcr-c-28-13-3,ljcr-covering-designs,19,3
ljcr-c-28-8-3,ljcr-covering-designs,73,3
ljcr-c-29-18-4,ljcr-covering-designs,18,3
ljcr-c-30-13-3,ljcr-covering-designs,24,3
ljcr-c-31-12-3,ljcr-covering-designs,32,3
ljcr-c-31-14-3,ljcr-covering-designs,21,3
ljcr-c-31-16-5,ljcr-covering-designs,62,3
ljcr-c-31-20-4,ljcr-covering-designs,16,3
ljcr-c-31-22-5,ljcr-covering-designs,18,3
ljcr-c-32-14-3,ljcr-covering-designs,22,3
ljcr-c-32-15-3,ljcr-covering-designs,18,3
ljcr-c-32-20-4,ljcr-covering-designs,18,3
ljcr-c-33-12-3,ljcr-covering-designs,36,3
ljcr-c-33-15-3,ljcr-covering-designs,20,3
ljcr-c-33-17-5,ljcr-covering-designs,62,3
ljcr-c-35-13-3,ljcr-covering-designs,36,3
ljcr-c-35-15-3,ljcr-covering-designs,24,3
ljcr-c-35-16-3,ljcr-covering-designs,20,3
ljcr-c-35-18-4,ljcr-covering-designs,31,3
ljcr-c-35-22-4,ljcr-covering-designs,18,3
ljcr-c-35-23-4,ljcr-covering-designs,14,3
ljcr-c-36-13-3,ljcr-covering-designs,37,3
ljcr-c-36-16-3,ljcr-covering-designs,21,3
ljcr-c-36-18-4,ljcr-covering-designs,33,3
ljcr-c-36-19-4,ljcr-covering-designs,30,3
ljcr-c-37-13-3,ljcr-covering-designs,38,3
ljcr-c-37-15-3,ljcr-covering-designs,28,3
ljcr-c-37-16-3,ljcr-covering-designs,24,3
ljcr-c-37-19-4,ljcr-covering-designs,31,3
ljcr-c-37-23-4,ljcr-covering-designs,18,3
ljcr-c-37-24-4,ljcr-covering-designs,16,3
ljcr-c-38-15-3,ljcr-covering-designs,31,3
ljcr-c-38-19-4,ljcr-covering-designs,33,3
ljcr-c-39-16-3,ljcr-covering-designs,28,3
ljcr-c-39-18-3,ljcr-covering-designs,19,3
ljcr-c-39-19-4,ljcr-covering-designs,35,3
ljcr-c-39-24-4,ljcr-covering-designs,18,3
ljcr-c-39-25-4,ljcr-covering-designs,16,3
ljcr-c-40-15-3,ljcr-covering-designs,35,3
ljcr-c-40-16-3,ljcr-covering-designs,28,3
ljcr-c-40-17-3,ljcr-covering-designs,25,3
ljcr-c-40-18-3,ljcr-covering-designs,20,3
ljcr-c-40-21-4,ljcr-covering-designs,30,3
ljcr-c-41-15-3,ljcr-covering-designs,36,3
ljcr-c-41-6-2,ljcr-covering-designs,59,3
ljcr-c-42-15-3,ljcr-covering-designs,38,3
ljcr-c-42-18-3,ljcr-covering-designs,24,3
ljcr-c-44-12-3,ljcr-covering-designs,77,3
ljcr-c-44-17-3,ljcr-covering-designs,32,3
